event_id,subscriber_id,campaign,event_date,sent,opened,clicked,converted,variant
EVT-10001,SUB-1360,ab_test_landing_v1,2023-05-31,1,0,0,0,v1
EVT-10002,SUB-1360,ab_test_landing_v2,2024-01-23,1,0,0,0,v2
EVT-10003,SUB-1360,welcome_series,2024-11-14,1,1,0,0,
EVT-10004,SUB-1360,monthly_newsletter,2024-08-19,1,0,0,0,
EVT-10005,SUB-1360,ab_test_landing_v1,2023-11-13,1,1,0,0,v1
EVT-10006,SUB-1360,monthly_newsletter,2023-06-06,1,0,0,0,
EVT-10007,SUB-1087,churn_winback,2024-03-24,1,0,0,0,
EVT-10008,SUB-1087,ab_test_landing_v1,2023-03-09,1,0,0,0,v1
EVT-10009,SUB-1087,ab_test_landing_v1,2023-08-30,1,0,0,0,v1
EVT-10010,SUB-1087,monthly_newsletter,2023-08-18,1,0,0,0,
EVT-10011,SUB-1087,welcome_series,2023-12-27,1,0,0,0,
EVT-10012,SUB-1251,monthly_newsletter,2023-11-16,1,0,0,0,
EVT-10013,SUB-1251,ab_test_landing_v1,2023-12-07,1,1,1,0,v1
EVT-10014,SUB-1251,churn_winback,2023-09-05,1,0,0,0,
EVT-10015,SUB-1902,churn_winback,2023-11-28,1,1,1,0,
EVT-10016,SUB-1902,welcome_series,2023-11-20,1,1,0,0,
EVT-10017,SUB-1902,churn_winback,2023-09-05,1,0,0,0,
EVT-10018,SUB-1902,upsell_classic_to_premium,2024-01-07,1,0,0,0,
EVT-10019,SUB-1902,upsell_classic_to_premium,2023-12-30,1,0,0,0,
EVT-10020,SUB-1902,monthly_newsletter,2024-03-29,1,0,0,0,
EVT-10021,SUB-1902,upsell_classic_to_premium,2024-09-01,1,0,0,0,
EVT-10022,SUB-2638,upsell_classic_to_premium,2024-03-05,1,0,0,0,
EVT-10023,SUB-2638,ab_test_landing_v1,2024-05-21,1,0,0,0,v1
EVT-10024,SUB-3178,monthly_newsletter,2024-12-29,1,1,0,0,
EVT-10025,SUB-2916,welcome_series,2024-08-29,1,1,0,0,
EVT-10026,SUB-2916,monthly_newsletter,2024-06-16,1,0,0,0,
EVT-10027,SUB-2916,upsell_classic_to_premium,2024-05-23,1,1,0,0,
EVT-10028,SUB-1905,ab_test_landing_v1,2024-05-16,1,0,0,0,v1
EVT-10029,SUB-1905,welcome_series,2024-01-26,1,1,0,0,
EVT-10030,SUB-1905,welcome_series,2024-04-30,1,0,0,0,
EVT-10031,SUB-1905,welcome_series,2024-04-30,1,0,0,0,
EVT-10032,SUB-1905,ab_test_landing_v2,2024-09-01,1,0,0,0,v2
EVT-10033,SUB-1905,churn_winback,2024-07-17,1,0,0,0,
EVT-10034,SUB-1550,ab_test_landing_v2,2024-12-19,1,0,0,0,v2
EVT-10035,SUB-1550,ab_test_landing_v1,2024-02-06,1,1,0,0,v1
EVT-10036,SUB-1550,welcome_series,2023-09-17,1,0,0,0,
EVT-10037,SUB-1550,monthly_newsletter,2024-06-12,1,0,0,0,
EVT-10038,SUB-1550,ab_test_landing_v2,2024-10-07,1,0,0,0,v2
EVT-10039,SUB-1550,ab_test_landing_v1,2024-02-11,1,0,0,0,v1
EVT-10040,SUB-1015,monthly_newsletter,2024-05-11,1,0,0,0,
EVT-10041,SUB-1015,welcome_series,2024-04-05,1,0,0,0,
EVT-10042,SUB-1015,ab_test_landing_v1,2023-09-25,1,0,0,0,v1
EVT-10043,SUB-1015,upsell_classic_to_premium,2023-08-22,1,0,0,0,
EVT-10044,SUB-1015,churn_winback,2024-03-11,1,0,0,0,
EVT-10045,SUB-1015,welcome_series,2024-03-29,1,1,0,0,
EVT-10046,SUB-1015,monthly_newsletter,2024-06-27,1,0,0,0,
EVT-10047,SUB-1015,ab_test_landing_v1,2023-05-04,1,1,0,0,v1
EVT-10048,SUB-1015,ab_test_landing_v1,2024-03-28,1,1,0,0,v1
EVT-10049,SUB-2863,monthly_newsletter,2024-06-30,1,0,0,0,
EVT-10050,SUB-2863,monthly_newsletter,2024-06-22,1,1,1,0,
EVT-10051,SUB-2863,welcome_series,2024-12-21,1,1,0,0,
EVT-10052,SUB-2863,ab_test_landing_v2,2024-05-26,1,0,0,0,v2
EVT-10053,SUB-2863,ab_test_landing_v1,2024-09-05,1,0,0,0,v1
EVT-10054,SUB-1045,ab_test_landing_v2,2024-06-06,1,1,0,0,v2
EVT-10055,SUB-1045,churn_winback,2023-03-25,1,0,0,0,
EVT-10056,SUB-1045,upsell_classic_to_premium,2024-07-05,1,1,1,0,
EVT-10057,SUB-1045,welcome_series,2023-10-18,1,0,0,0,
EVT-10058,SUB-1045,ab_test_landing_v2,2023-05-09,1,0,0,0,v2
EVT-10059,SUB-1045,welcome_series,2024-07-17,1,0,0,0,
EVT-10060,SUB-2762,churn_winback,2024-10-26,1,0,0,0,
EVT-10061,SUB-2762,upsell_classic_to_premium,2024-05-14,1,1,0,0,
EVT-10062,SUB-2762,churn_winback,2024-12-12,1,0,0,0,
EVT-10063,SUB-2764,monthly_newsletter,2024-05-17,1,1,0,0,
EVT-10064,SUB-2764,monthly_newsletter,2024-03-19,1,0,0,0,
EVT-10065,SUB-2764,welcome_series,2024-07-01,1,0,0,0,
EVT-10066,SUB-2764,monthly_newsletter,2024-06-13,1,0,0,0,
EVT-10067,SUB-1644,upsell_classic_to_premium,2024-09-08,1,1,1,1,
EVT-10068,SUB-1644,upsell_classic_to_premium,2024-03-20,1,1,0,0,
EVT-10069,SUB-2130,welcome_series,2023-11-23,1,0,0,0,
EVT-10070,SUB-2130,monthly_newsletter,2024-09-02,1,1,0,0,
EVT-10071,SUB-2130,ab_test_landing_v1,2024-10-18,1,0,0,0,v1
EVT-10072,SUB-2130,welcome_series,2024-07-28,1,0,0,0,
EVT-10073,SUB-2130,monthly_newsletter,2024-09-17,1,0,0,0,
EVT-10074,SUB-1580,welcome_series,2023-12-28,1,0,0,0,
EVT-10075,SUB-1580,churn_winback,2024-07-23,1,0,0,0,
EVT-10076,SUB-1580,monthly_newsletter,2023-06-22,1,1,0,0,
EVT-10077,SUB-1580,monthly_newsletter,2024-04-02,1,1,0,0,
EVT-10078,SUB-1686,upsell_classic_to_premium,2024-01-31,1,0,0,0,
EVT-10079,SUB-1686,ab_test_landing_v1,2024-08-06,1,0,0,0,v1
EVT-10080,SUB-1686,monthly_newsletter,2023-10-21,1,0,0,0,
EVT-10081,SUB-1686,monthly_newsletter,2024-07-31,1,1,1,0,
EVT-10082,SUB-1686,monthly_newsletter,2023-11-24,1,0,0,0,
EVT-10083,SUB-1686,welcome_series,2024-05-27,1,0,0,0,
