order_id,subscriber_id,order_date,plan_tier,amount,cogs,status,payment_method
ORD-5001,SUB-1001,2023-01-11,Starter,19.63407011288844,8.5,completed,card
ORD-5002,SUB-1001,2023-02-09,Starter,19.92814640496612,8.5,completed,mpesa
ORD-5003,SUB-1001,2023-03-10,Starter,20.18301938790706,8.5,completed,mpesa
ORD-5004,SUB-1002,2023-01-25,Classic,35.043476551191965,13.0,completed,card
ORD-5005,SUB-1002,2023-02-23,Classic,34.45421786824281,13.0,completed,paypal
ORD-5006,SUB-1002,2023-03-26,Classic,34.85759762801072,13.0,completed,card
ORD-5007,SUB-1002,2023-04-25,Classic,35.50798497169691,13.0,completed,mpesa
ORD-5008,SUB-1003,2023-01-06,Starter,20.37594364448325,8.5,completed,card
ORD-5009,SUB-1003,2023-02-05,Starter,19.96645365929565,8.5,failed,mpesa
ORD-5010,SUB-1003,2023-03-07,Starter,19.783873738594934,8.5,completed,paypal
ORD-5011,SUB-1003,2023-04-06,Starter,19.709862914318364,8.5,completed,card
ORD-5012,SUB-1003,2023-05-06,Starter,19.777888094118175,8.5,completed,card
ORD-5013,SUB-1003,2023-06-05,Starter,20.045123001240253,8.5,completed,card
ORD-5014,SUB-1003,2023-07-07,Starter,19.850786455057076,8.5,completed,mpesa
ORD-5015,SUB-1003,2023-08-07,Starter,19.747943661222077,8.5,completed,card
ORD-5016,SUB-1003,2023-09-07,Starter,20.15748230336248,8.5,completed,card
ORD-5017,SUB-1003,2023-10-06,Starter,20.16625691071415,8.5,completed,paypal
ORD-5018,SUB-1003,2023-11-05,Starter,20.08043504509848,8.5,completed,card
ORD-5019,SUB-1003,2023-12-05,Starter,20.00550567756803,8.5,completed,mpesa
ORD-5020,SUB-1003,2024-01-07,Starter,20.18869888288444,8.5,completed,paypal
ORD-5021,SUB-1003,2024-02-07,Starter,19.608829129289205,8.5,completed,mpesa
ORD-5022,SUB-1004,2023-01-17,Premium,55.80150668959622,18.5,completed,mpesa
ORD-5023,SUB-1004,2023-02-18,Premium,53.93302497237965,18.5,completed,card
ORD-5024,SUB-1004,2023-03-16,Premium,55.70799338124017,18.5,completed,card
ORD-5025,SUB-1004,2023-04-16,Premium,55.95140128521717,18.5,completed,paypal
ORD-5026,SUB-1004,2023-05-18,Premium,54.711256958945675,18.5,completed,card
ORD-5027,SUB-1004,2023-06-16,Premium,55.76011138559013,18.5,completed,card
ORD-5028,SUB-1004,2023-07-15,Premium,56.06385607653004,18.5,completed,card
ORD-5029,SUB-1004,2023-08-15,Premium,55.71461701023239,18.5,completed,paypal
ORD-5030,SUB-1004,2023-09-18,Premium,54.938967841344706,18.5,completed,card
ORD-5031,SUB-1004,2023-10-18,Premium,54.35551216083429,18.5,completed,card
ORD-5032,SUB-1004,2023-11-18,Premium,56.062524426025234,18.5,completed,card
ORD-5033,SUB-1004,2023-12-15,Premium,55.78565037797848,18.5,completed,mpesa
ORD-5034,SUB-1004,2024-01-16,Premium,55.00292810783246,18.5,completed,mpesa
ORD-5035,SUB-1004,2024-02-15,Premium,55.645688246863855,18.5,completed,mpesa
ORD-5036,SUB-1004,2024-03-16,Premium,56.05559942111565,18.5,completed,card
ORD-5037,SUB-1004,2024-04-17,Premium,54.88640081768615,18.5,completed,mpesa
ORD-5038,SUB-1004,2024-05-18,Premium,55.63250375671209,18.5,completed,mpesa
ORD-5039,SUB-1004,2024-06-17,Premium,54.14045419912568,18.5,completed,paypal
ORD-5040,SUB-1005,2023-01-08,Classic,35.6048872766508,13.0,completed,card
ORD-5041,SUB-1005,2023-02-08,Classic,35.388782532965884,13.0,completed,mpesa
ORD-5042,SUB-1005,2023-03-09,Classic,35.409854864570605,13.0,completed,mpesa
ORD-5043,SUB-1005,2023-04-10,Classic,34.46098465659242,13.0,completed,card
ORD-5044,SUB-1005,2023-05-10,Classic,34.352292757771856,13.0,completed,mpesa
ORD-5045,SUB-1005,2023-06-08,Classic,35.13725565371003,13.0,completed,card
ORD-5046,SUB-1005,2023-07-10,Classic,35.21116937472325,13.0,completed,card
ORD-5047,SUB-1005,2023-08-08,Classic,35.152847448521776,13.0,completed,card
ORD-5048,SUB-1005,2023-09-10,Classic,34.31078764181777,13.0,completed,card
ORD-5049,SUB-1005,2023-10-09,Classic,35.27145763496543,13.0,completed,card
ORD-5050,SUB-1005,2023-11-07,Classic,34.63375481424588,13.0,completed,mpesa
ORD-5051,SUB-1005,2023-12-09,Classic,34.8172948787604,13.0,completed,paypal
ORD-5052,SUB-1005,2024-01-10,Classic,35.56791661628649,13.0,completed,card
ORD-5053,SUB-1005,2024-02-10,Classic,35.14885599912402,13.0,completed,card
ORD-5054,SUB-1006,2023-01-21,Classic,35.05594409643387,13.0,completed,mpesa
ORD-5055,SUB-1006,2023-02-20,Classic,35.238234387927555,13.0,completed,paypal
ORD-5056,SUB-1006,2023-03-23,Classic,35.35743232570783,13.0,completed,card
ORD-5057,SUB-1007,2023-01-10,Premium,54.9028734065233,18.5,completed,mpesa
ORD-5058,SUB-1007,2023-02-11,Premium,55.438697355595224,18.5,completed,mpesa
ORD-5059,SUB-1007,2023-03-13,Premium,55.0149407106649,18.5,completed,card
ORD-5060,SUB-1007,2023-04-12,Premium,54.4644517767683,18.5,completed,card
ORD-5061,SUB-1007,2023-05-13,Premium,54.18567396217842,18.5,completed,card
ORD-5062,SUB-1007,2023-06-13,Premium,55.779399373131305,18.5,completed,card
ORD-5063,SUB-1007,2023-07-13,Premium,55.76795068293903,18.5,completed,mpesa
ORD-5064,SUB-1007,2023-08-11,Premium,55.59659857408447,18.5,completed,mpesa
ORD-5065,SUB-1007,2023-09-10,Premium,55.6521497120263,18.5,completed,paypal
ORD-5066,SUB-1007,2023-10-11,Premium,53.99282705244271,18.5,completed,card
ORD-5067,SUB-1007,2023-11-13,Premium,54.61485847350981,18.5,completed,card
ORD-5068,SUB-1007,2023-12-12,Premium,54.278597726251874,18.5,completed,mpesa
ORD-5069,SUB-1007,2024-01-10,Premium,54.03472847079704,18.5,completed,mpesa
ORD-5070,SUB-1007,2024-02-12,Premium,54.90785123813617,18.5,completed,mpesa
ORD-5071,SUB-1007,2024-03-11,Premium,54.12071128260378,18.5,completed,card
ORD-5072,SUB-1007,2024-04-13,Premium,54.57024915895665,18.5,failed,card
ORD-5073,SUB-1008,2023-01-09,Premium,54.12531124832031,18.5,completed,card
ORD-5074,SUB-1008,2023-02-11,Premium,55.620298015120106,18.5,failed,card
ORD-5075,SUB-1008,2023-03-09,Premium,55.800910641231894,18.5,completed,card
ORD-5076,SUB-1008,2023-04-08,Premium,55.810201968870686,18.5,completed,mpesa
ORD-5077,SUB-1008,2023-05-09,Premium,53.943377359528434,18.5,completed,paypal
ORD-5078,SUB-1008,2023-06-08,Premium,54.72836831580412,18.5,completed,card
ORD-5079,SUB-1008,2023-07-11,Premium,54.08691204936575,18.5,completed,card
ORD-5080,SUB-1008,2023-08-10,Premium,54.385652670546335,18.5,completed,card
ORD-5081,SUB-1008,2023-09-08,Premium,54.90132016473774,18.5,completed,card
ORD-5082,SUB-1008,2023-10-10,Premium,54.031932503005976,18.5,completed,mpesa
ORD-5083,SUB-1008,2023-11-09,Premium,54.31905239207196,18.5,completed,card
ORD-5084,SUB-1008,2023-12-11,Premium,55.99079569211872,18.5,completed,paypal
ORD-5085,SUB-1008,2024-01-08,Premium,55.7214121175842,18.5,completed,card
ORD-5086,SUB-1008,2024-02-10,Premium,54.74401237560839,18.5,completed,paypal
ORD-5087,SUB-1008,2024-03-09,Premium,55.68498766558769,18.5,completed,card
ORD-5088,SUB-1008,2024-04-09,Premium,55.8577052574176,18.5,completed,mpesa
ORD-5089,SUB-1008,2024-05-10,Premium,54.69186939371843,18.5,completed,mpesa
